Guid,Aid,Rid,Level
00072dfe-2d64-41fa-ac85-4ffeafc44df1,9782b000-822a-4591-b0c6-c41b19e7d6a9,1b547a46-0db7-4adc-9907-6be1e6bfa787,4
0007675e-13ba-4a0d-9480-8fbd67166113,88a9c7ce-ad30-4c44-9872-1c53bde60b0f,5211e572-01a4-437d-8cdd-034d1dc05c4f,2
000aa23d-3fde-45e0-b07c-baaa119926fe,3b5f4f3f-ca55-4823-be07-13e14d84da7c,e275c8a6-3969-405c-8353-8f7211e6049d,3
000e6ec1-daad-40f1-9203-63037db031a8,797e30d7-903d-4302-87c6-a7dad994b831,b2925f2e-32fc-43ad-b971-e1b30a533e27,1
000f2bb4-eeea-4a0e-a284-c715ea3e7877,13872a45-fea9-4d19-b6a8-9b5f3d527ccd,e8e0b950-e169-4fd9-a9b0-c7be5690ce6e,2
001340d2-a002-4beb-81f5-c067df691023,db8d732b-ba27-42c4-814f-8ed2ee004de6,0961870c-0a02-49ef-a566-734221427d7e,1
00149264-99f3-45e8-85d8-c0b56d82953f,d79e27b2-c653-46a5-9eb9-1b31384b0383,ce77b105-bcf1-4728-9351-020a929301ba,2
00162e6f-29f2-4aa3-a7b5-2ac3b790da18,81332afc-cd75-4fe1-a221-f9de474fa5ca,71056625-7eab-4c7c-b455-ebb92b92f6e6,2
0019637c-412a-466f-9dd7-466afa5cc25f,78614fa9-5c86-4b75-969d-421ce75c92d6,724808f9-1905-4c81-a5af-ceccd5e91942,2
001a0302-6868-41d0-987a-ac70f6acb5a3,4e742a85-40e8-4142-b509-c4436a878e2b,082b8bb6-50e0-42ed-9cd7-a5c37a29e645,2
001d276e-5083-4294-9cf0-2d28fc6612ef,5be3004d-07fd-46f0-9fb0-02dcf2da2f0e,aca6c442-78e3-4a5a-a4b8-b14fe2a607fe,1
001dc745-1635-4e1c-b6ac-97cbbd259eab,25940628-5994-46c5-9bc2-48e515d62574,59cc834d-7948-4bd7-946a-9b5999a5a774,2
001ec3b2-5fb6-4211-bb0f-fe442b953591,f005e3cf-7c21-493e-9a5e-5d2913c8b419,252fb95c-a1e0-4b1a-a1a3-bcd9e1f52b9f,1
00237f07-184d-4946-a5a4-89729c1988c0,fb2a90a0-2be5-4e51-a8c5-392214df1d17,e2230415-47ed-42b4-ab86-0fb9e6ee9aed,2
002398ca-105a-4ba8-a6f9-10589f7488e0,74a12187-a853-490c-81b6-996ff69da5da,ff2bf7dc-7bd5-470a-a890-b46b09713c77,3
00285c89-82b2-4b5a-8c61-3737aea094c4,dfd017f8-ae33-4a33-98af-439b3d2b3fc4,8b067f31-b1a0-4577-a846-fe1dc179756c,2
002b81b8-e94f-4c0f-a949-d9727622e07e,97cd4164-93c8-4ce3-ba4d-1fd2682c2594,1fb43600-f614-4f85-987e-45dd8ac07055,2
00303188-d8ab-4931-baca-edfb5bddbacd,b4989a62-6298-4de0-bdf9-ae5f762f552a,1fb43600-f614-4f85-987e-45dd8ac07055,2
0033fac7-b8be-442f-9e45-c0c06c846193,3ac41d8b-cbb5-487a-bd3c-10c4ae4a6b3c,f5837a9d-9824-4cf3-9b84-f8a1987153dc,1
0034812c-3559-4865-afa0-cd29a8a0225b,71a48023-5189-4b12-abf9-d67136d9d0fe,849e0450-45c7-4179-bdd7-3a1a4ff7fa12,1
00369f9b-b475-4a20-9845-706fa1c37ce9,c421f4c3-2a82-4cf8-91b3-e51233ffedb4,b1f95883-10ee-4427-98c4-f9cc750577b2,1
